2023-02-08T23:58:44.840+0000	connected to: mongodb://[**REDACTED**]@localhost:27017/beacon2?authSource=admin
2023-02-08T23:58:47.840+0000	beacon2.Variants	39.2MB
2023-02-08T23:58:50.841+0000	beacon2.Variants	76.9MB
2023-02-08T23:58:53.841+0000	beacon2.Variants	116MB
2023-02-08T23:58:56.842+0000	beacon2.Variants	155MB
2023-02-08T23:58:59.848+0000	beacon2.Variants	193MB
2023-02-08T23:59:02.840+0000	beacon2.Variants	234MB
2023-02-08T23:59:05.858+0000	beacon2.Variants	271MB
2023-02-08T23:59:08.860+0000	beacon2.Variants	310MB
2023-02-08T23:59:11.842+0000	beacon2.Variants	350MB
2023-02-08T23:59:14.844+0000	beacon2.Variants	388MB
2023-02-08T23:59:17.849+0000	beacon2.Variants	428MB
2023-02-08T23:59:20.847+0000	beacon2.Variants	466MB
2023-02-08T23:59:23.852+0000	beacon2.Variants	505MB
2023-02-08T23:59:26.843+0000	beacon2.Variants	545MB
2023-02-08T23:59:29.841+0000	beacon2.Variants	585MB
2023-02-08T23:59:32.840+0000	beacon2.Variants	623MB
2023-02-08T23:59:35.841+0000	beacon2.Variants	662MB
2023-02-08T23:59:38.859+0000	beacon2.Variants	700MB
2023-02-08T23:59:41.855+0000	beacon2.Variants	738MB
2023-02-08T23:59:44.841+0000	beacon2.Variants	777MB
2023-02-08T23:59:47.841+0000	beacon2.Variants	816MB
2023-02-08T23:59:50.841+0000	beacon2.Variants	856MB
2023-02-08T23:59:53.843+0000	beacon2.Variants	895MB
2023-02-08T23:59:56.843+0000	beacon2.Variants	934MB
2023-02-08T23:59:59.841+0000	beacon2.Variants	971MB
2023-02-09T00:00:02.840+0000	beacon2.Variants	1009MB
2023-02-09T00:00:05.843+0000	beacon2.Variants	1.02GB
2023-02-09T00:00:08.849+0000	beacon2.Variants	1.06GB
2023-02-09T00:00:11.848+0000	beacon2.Variants	1.10GB
2023-02-09T00:00:14.840+0000	beacon2.Variants	1.14GB
2023-02-09T00:00:17.840+0000	beacon2.Variants	1.17GB
2023-02-09T00:00:20.871+0000	beacon2.Variants	1.21GB
2023-02-09T00:00:23.852+0000	beacon2.Variants	1.25GB
2023-02-09T00:00:26.844+0000	beacon2.Variants	1.29GB
2023-02-09T00:00:29.846+0000	beacon2.Variants	1.33GB
2023-02-09T00:00:32.841+0000	beacon2.Variants	1.36GB
2023-02-09T00:00:35.841+0000	beacon2.Variants	1.40GB
2023-02-09T00:00:38.843+0000	beacon2.Variants	1.44GB
2023-02-09T00:00:41.842+0000	beacon2.Variants	1.47GB
2023-02-09T00:00:44.849+0000	beacon2.Variants	1.51GB
2023-02-09T00:00:47.841+0000	beacon2.Variants	1.55GB
2023-02-09T00:00:50.840+0000	beacon2.Variants	1.59GB
2023-02-09T00:00:53.841+0000	beacon2.Variants	1.63GB
2023-02-09T00:00:56.841+0000	beacon2.Variants	1.66GB
2023-02-09T00:00:59.841+0000	beacon2.Variants	1.70GB
2023-02-09T00:01:02.841+0000	beacon2.Variants	1.74GB
2023-02-09T00:01:05.841+0000	beacon2.Variants	1.78GB
2023-02-09T00:01:08.842+0000	beacon2.Variants	1.82GB
2023-02-09T00:01:11.851+0000	beacon2.Variants	1.85GB
2023-02-09T00:01:14.846+0000	beacon2.Variants	1.89GB
2023-02-09T00:01:17.841+0000	beacon2.Variants	1.93GB
2023-02-09T00:01:20.843+0000	beacon2.Variants	1.97GB
2023-02-09T00:01:23.847+0000	beacon2.Variants	2.01GB
2023-02-09T00:01:26.843+0000	beacon2.Variants	2.04GB
2023-02-09T00:01:29.840+0000	beacon2.Variants	2.08GB
2023-02-09T00:01:32.841+0000	beacon2.Variants	2.12GB
2023-02-09T00:01:35.854+0000	beacon2.Variants	2.16GB
2023-02-09T00:01:38.840+0000	beacon2.Variants	2.19GB
2023-02-09T00:01:41.852+0000	beacon2.Variants	2.23GB
2023-02-09T00:01:44.842+0000	beacon2.Variants	2.27GB
2023-02-09T00:01:47.841+0000	beacon2.Variants	2.31GB
2023-02-09T00:01:50.846+0000	beacon2.Variants	2.35GB
2023-02-09T00:01:53.841+0000	beacon2.Variants	2.38GB
2023-02-09T00:01:56.855+0000	beacon2.Variants	2.42GB
2023-02-09T00:01:59.840+0000	beacon2.Variants	2.46GB
2023-02-09T00:02:02.843+0000	beacon2.Variants	2.50GB
2023-02-09T00:02:05.845+0000	beacon2.Variants	2.54GB
2023-02-09T00:02:08.848+0000	beacon2.Variants	2.57GB
2023-02-09T00:02:11.841+0000	beacon2.Variants	2.61GB
2023-02-09T00:02:14.842+0000	beacon2.Variants	2.65GB
2023-02-09T00:02:17.841+0000	beacon2.Variants	2.69GB
2023-02-09T00:02:20.848+0000	beacon2.Variants	2.72GB
2023-02-09T00:02:23.841+0000	beacon2.Variants	2.76GB
2023-02-09T00:02:26.842+0000	beacon2.Variants	2.80GB
2023-02-09T00:02:29.841+0000	beacon2.Variants	2.84GB
2023-02-09T00:02:32.843+0000	beacon2.Variants	2.87GB
2023-02-09T00:02:35.845+0000	beacon2.Variants	2.91GB
2023-02-09T00:02:38.843+0000	beacon2.Variants	2.95GB
2023-02-09T00:02:41.845+0000	beacon2.Variants	2.99GB
2023-02-09T00:02:44.847+0000	beacon2.Variants	3.02GB
2023-02-09T00:02:47.848+0000	beacon2.Variants	3.06GB
2023-02-09T00:02:50.841+0000	beacon2.Variants	3.10GB
2023-02-09T00:02:53.842+0000	beacon2.Variants	3.14GB
2023-02-09T00:02:56.851+0000	beacon2.Variants	3.17GB
2023-02-09T00:02:59.847+0000	beacon2.Variants	3.21GB
2023-02-09T00:03:02.841+0000	beacon2.Variants	3.25GB
2023-02-09T00:03:05.851+0000	beacon2.Variants	3.29GB
2023-02-09T00:03:08.850+0000	beacon2.Variants	3.33GB
2023-02-09T00:03:11.840+0000	beacon2.Variants	3.36GB
2023-02-09T00:03:14.840+0000	beacon2.Variants	3.40GB
2023-02-09T00:03:17.840+0000	beacon2.Variants	3.44GB
2023-02-09T00:03:20.845+0000	beacon2.Variants	3.48GB
2023-02-09T00:03:23.858+0000	beacon2.Variants	3.51GB
2023-02-09T00:03:26.840+0000	beacon2.Variants	3.55GB
2023-02-09T00:03:29.844+0000	beacon2.Variants	3.59GB
2023-02-09T00:03:32.843+0000	beacon2.Variants	3.63GB
2023-02-09T00:03:35.850+0000	beacon2.Variants	3.67GB
2023-02-09T00:03:38.848+0000	beacon2.Variants	3.70GB
2023-02-09T00:03:41.841+0000	beacon2.Variants	3.74GB
2023-02-09T00:03:44.843+0000	beacon2.Variants	3.78GB
2023-02-09T00:03:47.859+0000	beacon2.Variants	3.82GB
2023-02-09T00:03:50.841+0000	beacon2.Variants	3.86GB
2023-02-09T00:03:53.845+0000	beacon2.Variants	3.89GB
2023-02-09T00:03:56.849+0000	beacon2.Variants	3.93GB
2023-02-09T00:03:59.842+0000	beacon2.Variants	3.97GB
2023-02-09T00:04:02.844+0000	beacon2.Variants	4.01GB
2023-02-09T00:04:05.840+0000	beacon2.Variants	4.05GB
2023-02-09T00:04:08.842+0000	beacon2.Variants	4.08GB
2023-02-09T00:04:11.849+0000	beacon2.Variants	4.12GB
2023-02-09T00:04:14.850+0000	beacon2.Variants	4.16GB
2023-02-09T00:04:17.840+0000	beacon2.Variants	4.20GB
2023-02-09T00:04:20.841+0000	beacon2.Variants	4.23GB
2023-02-09T00:04:23.840+0000	beacon2.Variants	4.27GB
2023-02-09T00:04:26.851+0000	beacon2.Variants	4.31GB
2023-02-09T00:04:29.843+0000	beacon2.Variants	4.35GB
2023-02-09T00:04:32.841+0000	beacon2.Variants	4.39GB
2023-02-09T00:04:35.841+0000	beacon2.Variants	4.42GB
2023-02-09T00:04:38.850+0000	beacon2.Variants	4.46GB
2023-02-09T00:04:41.841+0000	beacon2.Variants	4.50GB
2023-02-09T00:04:44.845+0000	beacon2.Variants	4.53GB
2023-02-09T00:04:47.841+0000	beacon2.Variants	4.57GB
2023-02-09T00:04:50.841+0000	beacon2.Variants	4.61GB
2023-02-09T00:04:53.844+0000	beacon2.Variants	4.65GB
2023-02-09T00:04:56.840+0000	beacon2.Variants	4.69GB
2023-02-09T00:04:59.845+0000	beacon2.Variants	4.72GB
2023-02-09T00:05:02.848+0000	beacon2.Variants	4.76GB
2023-02-09T00:05:05.846+0000	beacon2.Variants	4.80GB
2023-02-09T00:05:08.840+0000	beacon2.Variants	4.84GB
2023-02-09T00:05:11.841+0000	beacon2.Variants	4.87GB
2023-02-09T00:05:14.842+0000	beacon2.Variants	4.91GB
2023-02-09T00:05:17.845+0000	beacon2.Variants	4.95GB
2023-02-09T00:05:20.845+0000	beacon2.Variants	4.99GB
2023-02-09T00:05:23.849+0000	beacon2.Variants	5.03GB
2023-02-09T00:05:26.843+0000	beacon2.Variants	5.06GB
2023-02-09T00:05:29.842+0000	beacon2.Variants	5.10GB
2023-02-09T00:05:32.840+0000	beacon2.Variants	5.14GB
