2023-02-08T13:44:22.979+0000	connected to: mongodb://[**REDACTED**]@localhost:27017/beacon2?authSource=admin
2023-02-08T13:44:25.979+0000	beacon2.Variants	39.6MB
2023-02-08T13:44:28.981+0000	beacon2.Variants	78.8MB
2023-02-08T13:44:31.987+0000	beacon2.Variants	119MB
2023-02-08T13:44:34.979+0000	beacon2.Variants	158MB
2023-02-08T13:44:37.979+0000	beacon2.Variants	196MB
2023-02-08T13:44:40.986+0000	beacon2.Variants	235MB
2023-02-08T13:44:43.985+0000	beacon2.Variants	274MB
2023-02-08T13:44:46.979+0000	beacon2.Variants	314MB
2023-02-08T13:44:49.982+0000	beacon2.Variants	352MB
2023-02-08T13:44:52.984+0000	beacon2.Variants	391MB
2023-02-08T13:44:55.979+0000	beacon2.Variants	432MB
2023-02-08T13:44:58.979+0000	beacon2.Variants	469MB
2023-02-08T13:45:01.979+0000	beacon2.Variants	509MB
2023-02-08T13:45:04.984+0000	beacon2.Variants	548MB
2023-02-08T13:45:07.980+0000	beacon2.Variants	587MB
2023-02-08T13:45:10.986+0000	beacon2.Variants	627MB
2023-02-08T13:45:13.979+0000	beacon2.Variants	666MB
2023-02-08T13:45:16.981+0000	beacon2.Variants	705MB
2023-02-08T13:45:19.984+0000	beacon2.Variants	745MB
2023-02-08T13:45:22.989+0000	beacon2.Variants	783MB
2023-02-08T13:45:25.979+0000	beacon2.Variants	822MB
2023-02-08T13:45:28.996+0000	beacon2.Variants	862MB
2023-02-08T13:45:31.979+0000	beacon2.Variants	901MB
2023-02-08T13:45:34.980+0000	beacon2.Variants	941MB
2023-02-08T13:45:37.982+0000	beacon2.Variants	978MB
2023-02-08T13:45:40.984+0000	beacon2.Variants	1018MB
2023-02-08T13:45:43.987+0000	beacon2.Variants	1.03GB
2023-02-08T13:45:46.986+0000	beacon2.Variants	1.07GB
2023-02-08T13:45:49.981+0000	beacon2.Variants	1.11GB
2023-02-08T13:45:52.979+0000	beacon2.Variants	1.15GB
2023-02-08T13:45:55.979+0000	beacon2.Variants	1.18GB
2023-02-08T13:45:58.980+0000	beacon2.Variants	1.22GB
2023-02-08T13:46:01.981+0000	beacon2.Variants	1.26GB
2023-02-08T13:46:04.986+0000	beacon2.Variants	1.30GB
2023-02-08T13:46:07.983+0000	beacon2.Variants	1.34GB
2023-02-08T13:46:10.980+0000	beacon2.Variants	1.38GB
2023-02-08T13:46:13.995+0000	beacon2.Variants	1.42GB
2023-02-08T13:46:16.986+0000	beacon2.Variants	1.45GB
2023-02-08T13:46:19.979+0000	beacon2.Variants	1.49GB
2023-02-08T13:46:22.982+0000	beacon2.Variants	1.53GB
2023-02-08T13:46:25.979+0000	beacon2.Variants	1.57GB
2023-02-08T13:46:28.983+0000	beacon2.Variants	1.61GB
2023-02-08T13:46:31.985+0000	beacon2.Variants	1.64GB
2023-02-08T13:46:34.979+0000	beacon2.Variants	1.68GB
2023-02-08T13:46:37.980+0000	beacon2.Variants	1.72GB
2023-02-08T13:46:40.987+0000	beacon2.Variants	1.76GB
2023-02-08T13:46:43.983+0000	beacon2.Variants	1.80GB
2023-02-08T13:46:46.980+0000	beacon2.Variants	1.83GB
2023-02-08T13:46:49.982+0000	beacon2.Variants	1.87GB
2023-02-08T13:46:52.981+0000	beacon2.Variants	1.91GB
2023-02-08T13:46:55.988+0000	beacon2.Variants	1.95GB
2023-02-08T13:46:58.982+0000	beacon2.Variants	1.99GB
2023-02-08T13:47:01.979+0000	beacon2.Variants	2.03GB
2023-02-08T13:47:04.988+0000	beacon2.Variants	2.07GB
2023-02-08T13:47:07.983+0000	beacon2.Variants	2.10GB
2023-02-08T13:47:10.983+0000	beacon2.Variants	2.14GB
2023-02-08T13:47:13.989+0000	beacon2.Variants	2.18GB
2023-02-08T13:47:16.980+0000	beacon2.Variants	2.22GB
2023-02-08T13:47:19.982+0000	beacon2.Variants	2.26GB
2023-02-08T13:47:22.983+0000	beacon2.Variants	2.30GB
2023-02-08T13:47:25.983+0000	beacon2.Variants	2.33GB
2023-02-08T13:47:28.983+0000	beacon2.Variants	2.38GB
2023-02-08T13:47:31.980+0000	beacon2.Variants	2.41GB
2023-02-08T13:47:34.980+0000	beacon2.Variants	2.45GB
2023-02-08T13:47:37.983+0000	beacon2.Variants	2.49GB
2023-02-08T13:47:40.984+0000	beacon2.Variants	2.53GB
2023-02-08T13:47:43.983+0000	beacon2.Variants	2.57GB
2023-02-08T13:47:46.985+0000	beacon2.Variants	2.60GB
2023-02-08T13:47:49.985+0000	beacon2.Variants	2.64GB
2023-02-08T13:47:52.979+0000	beacon2.Variants	2.68GB
2023-02-08T13:47:55.979+0000	beacon2.Variants	2.72GB
2023-02-08T13:47:58.999+0000	beacon2.Variants	2.76GB
2023-02-08T13:48:01.993+0000	beacon2.Variants	2.80GB
2023-02-08T13:48:04.987+0000	beacon2.Variants	2.84GB
2023-02-08T13:48:07.983+0000	beacon2.Variants	2.88GB
2023-02-08T13:48:10.980+0000	beacon2.Variants	2.91GB
2023-02-08T13:48:13.981+0000	beacon2.Variants	2.95GB
2023-02-08T13:48:16.984+0000	beacon2.Variants	2.99GB
2023-02-08T13:48:19.979+0000	beacon2.Variants	3.03GB
2023-02-08T13:48:22.986+0000	beacon2.Variants	3.07GB
2023-02-08T13:48:25.984+0000	beacon2.Variants	3.11GB
2023-02-08T13:48:28.982+0000	beacon2.Variants	3.14GB
2023-02-08T13:48:31.984+0000	beacon2.Variants	3.18GB
2023-02-08T13:48:34.980+0000	beacon2.Variants	3.22GB
2023-02-08T13:48:37.987+0000	beacon2.Variants	3.26GB
2023-02-08T13:48:40.980+0000	beacon2.Variants	3.30GB
2023-02-08T13:48:43.982+0000	beacon2.Variants	3.33GB
2023-02-08T13:48:46.980+0000	beacon2.Variants	3.37GB
2023-02-08T13:48:49.984+0000	beacon2.Variants	3.41GB
2023-02-08T13:48:52.981+0000	beacon2.Variants	3.45GB
2023-02-08T13:48:55.981+0000	beacon2.Variants	3.49GB
2023-02-08T13:48:58.982+0000	beacon2.Variants	3.53GB
2023-02-08T13:49:01.980+0000	beacon2.Variants	3.56GB
2023-02-08T13:49:04.982+0000	beacon2.Variants	3.60GB
2023-02-08T13:49:07.982+0000	beacon2.Variants	3.64GB
2023-02-08T13:49:10.987+0000	beacon2.Variants	3.68GB
2023-02-08T13:49:13.979+0000	beacon2.Variants	3.72GB
2023-02-08T13:49:16.979+0000	beacon2.Variants	3.76GB
2023-02-08T13:49:19.981+0000	beacon2.Variants	3.79GB
2023-02-08T13:49:22.983+0000	beacon2.Variants	3.83GB
2023-02-08T13:49:25.988+0000	beacon2.Variants	3.87GB
2023-02-08T13:49:28.979+0000	beacon2.Variants	3.91GB
2023-02-08T13:49:31.979+0000	beacon2.Variants	3.95GB
2023-02-08T13:49:34.979+0000	beacon2.Variants	3.99GB
2023-02-08T13:49:37.983+0000	beacon2.Variants	4.02GB
2023-02-08T13:49:40.980+0000	beacon2.Variants	4.06GB
2023-02-08T13:49:43.979+0000	beacon2.Variants	4.10GB
2023-02-08T13:49:46.988+0000	beacon2.Variants	4.14GB
2023-02-08T13:49:49.982+0000	beacon2.Variants	4.18GB
2023-02-08T13:49:52.979+0000	beacon2.Variants	4.21GB
2023-02-08T13:49:55.979+0000	beacon2.Variants	4.25GB
2023-02-08T13:49:58.979+0000	beacon2.Variants	4.29GB
2023-02-08T13:50:01.979+0000	beacon2.Variants	4.33GB
2023-02-08T13:50:04.987+0000	beacon2.Variants	4.37GB
2023-02-08T13:50:07.984+0000	beacon2.Variants	4.40GB
2023-02-08T13:50:10.979+0000	beacon2.Variants	4.44GB
2023-02-08T13:50:13.989+0000	beacon2.Variants	4.48GB
2023-02-08T13:50:16.992+0000	beacon2.Variants	4.52GB
2023-02-08T13:50:19.982+0000	beacon2.Variants	4.56GB
2023-02-08T13:50:22.980+0000	beacon2.Variants	4.59GB
2023-02-08T13:50:25.983+0000	beacon2.Variants	4.63GB
2023-02-08T13:50:28.979+0000	beacon2.Variants	4.67GB
2023-02-08T13:50:31.985+0000	beacon2.Variants	4.71GB
2023-02-08T13:50:34.979+0000	beacon2.Variants	4.75GB
2023-02-08T13:50:37.990+0000	beacon2.Variants	4.79GB
2023-02-08T13:50:40.979+0000	beacon2.Variants	4.82GB
2023-02-08T13:50:43.985+0000	beacon2.Variants	4.86GB
2023-02-08T13:50:46.980+0000	beacon2.Variants	4.90GB
2023-02-08T13:50:49.985+0000	beacon2.Variants	4.94GB
2023-02-08T13:50:52.982+0000	beacon2.Variants	4.98GB
2023-02-08T13:50:55.983+0000	beacon2.Variants	5.01GB
2023-02-08T13:50:58.980+0000	beacon2.Variants	5.05GB
