2023-02-08T14:43:07.861+0000	connected to: mongodb://[**REDACTED**]@localhost:27017/beacon2?authSource=admin
2023-02-08T14:43:10.866+0000	beacon2.Variants	37.4MB
2023-02-08T14:43:13.861+0000	beacon2.Variants	76.7MB
2023-02-08T14:43:16.871+0000	beacon2.Variants	116MB
2023-02-08T14:43:19.862+0000	beacon2.Variants	155MB
2023-02-08T14:43:22.864+0000	beacon2.Variants	193MB
2023-02-08T14:43:25.861+0000	beacon2.Variants	232MB
2023-02-08T14:43:28.861+0000	beacon2.Variants	271MB
2023-02-08T14:43:31.864+0000	beacon2.Variants	310MB
2023-02-08T14:43:34.862+0000	beacon2.Variants	348MB
2023-02-08T14:43:37.862+0000	beacon2.Variants	387MB
2023-02-08T14:43:40.864+0000	beacon2.Variants	426MB
2023-02-08T14:43:43.862+0000	beacon2.Variants	465MB
2023-02-08T14:43:46.863+0000	beacon2.Variants	504MB
2023-02-08T14:43:49.861+0000	beacon2.Variants	544MB
2023-02-08T14:43:52.862+0000	beacon2.Variants	583MB
2023-02-08T14:43:55.863+0000	beacon2.Variants	623MB
2023-02-08T14:43:58.864+0000	beacon2.Variants	663MB
2023-02-08T14:44:01.863+0000	beacon2.Variants	699MB
2023-02-08T14:44:04.869+0000	beacon2.Variants	738MB
2023-02-08T14:44:07.864+0000	beacon2.Variants	779MB
2023-02-08T14:44:10.868+0000	beacon2.Variants	816MB
2023-02-08T14:44:13.865+0000	beacon2.Variants	857MB
2023-02-08T14:44:16.863+0000	beacon2.Variants	896MB
2023-02-08T14:44:19.862+0000	beacon2.Variants	935MB
2023-02-08T14:44:22.867+0000	beacon2.Variants	974MB
2023-02-08T14:44:25.865+0000	beacon2.Variants	1014MB
2023-02-08T14:44:28.862+0000	beacon2.Variants	1.03GB
2023-02-08T14:44:31.862+0000	beacon2.Variants	1.07GB
2023-02-08T14:44:34.866+0000	beacon2.Variants	1.10GB
2023-02-08T14:44:37.861+0000	beacon2.Variants	1.14GB
2023-02-08T14:44:40.863+0000	beacon2.Variants	1.18GB
2023-02-08T14:44:43.861+0000	beacon2.Variants	1.22GB
2023-02-08T14:44:46.863+0000	beacon2.Variants	1.26GB
2023-02-08T14:44:49.864+0000	beacon2.Variants	1.30GB
2023-02-08T14:44:52.861+0000	beacon2.Variants	1.33GB
