2023-02-08T18:42:35.976+0000	connected to: mongodb://[**REDACTED**]@localhost:27017/beacon2?authSource=admin
2023-02-08T18:42:38.985+0000	beacon2.Variants	39.9MB
2023-02-08T18:42:41.986+0000	beacon2.Variants	78.0MB
2023-02-08T18:42:44.990+0000	beacon2.Variants	117MB
2023-02-08T18:42:47.982+0000	beacon2.Variants	156MB
2023-02-08T18:42:50.978+0000	beacon2.Variants	195MB
2023-02-08T18:42:53.979+0000	beacon2.Variants	234MB
2023-02-08T18:42:56.985+0000	beacon2.Variants	273MB
2023-02-08T18:42:59.984+0000	beacon2.Variants	312MB
2023-02-08T18:43:02.988+0000	beacon2.Variants	351MB
2023-02-08T18:43:05.978+0000	beacon2.Variants	390MB
2023-02-08T18:43:08.977+0000	beacon2.Variants	429MB
2023-02-08T18:43:11.985+0000	beacon2.Variants	469MB
2023-02-08T18:43:14.984+0000	beacon2.Variants	507MB
2023-02-08T18:43:17.981+0000	beacon2.Variants	546MB
2023-02-08T18:43:20.978+0000	beacon2.Variants	585MB
2023-02-08T18:43:23.980+0000	beacon2.Variants	624MB
2023-02-08T18:43:26.983+0000	beacon2.Variants	664MB
2023-02-08T18:43:29.980+0000	beacon2.Variants	702MB
2023-02-08T18:43:32.978+0000	beacon2.Variants	741MB
2023-02-08T18:43:35.977+0000	beacon2.Variants	777MB
2023-02-08T18:43:38.982+0000	beacon2.Variants	816MB
2023-02-08T18:43:41.977+0000	beacon2.Variants	855MB
2023-02-08T18:43:44.996+0000	beacon2.Variants	894MB
2023-02-08T18:43:47.977+0000	beacon2.Variants	933MB
2023-02-08T18:43:50.985+0000	beacon2.Variants	973MB
2023-02-08T18:43:53.991+0000	beacon2.Variants	1012MB
2023-02-08T18:43:56.979+0000	beacon2.Variants	1.03GB
2023-02-08T18:43:59.977+0000	beacon2.Variants	1.07GB
2023-02-08T18:44:02.982+0000	beacon2.Variants	1.10GB
2023-02-08T18:44:05.979+0000	beacon2.Variants	1.14GB
2023-02-08T18:44:08.977+0000	beacon2.Variants	1.18GB
2023-02-08T18:44:11.977+0000	beacon2.Variants	1.22GB
2023-02-08T18:44:14.983+0000	beacon2.Variants	1.26GB
2023-02-08T18:44:17.977+0000	beacon2.Variants	1.29GB
2023-02-08T18:44:20.980+0000	beacon2.Variants	1.33GB
2023-02-08T18:44:23.982+0000	beacon2.Variants	1.37GB
2023-02-08T18:44:26.980+0000	beacon2.Variants	1.41GB
2023-02-08T18:44:29.977+0000	beacon2.Variants	1.44GB
2023-02-08T18:44:32.976+0000	beacon2.Variants	1.48GB
2023-02-08T18:44:35.977+0000	beacon2.Variants	1.52GB
2023-02-08T18:44:38.978+0000	beacon2.Variants	1.56GB
2023-02-08T18:44:41.990+0000	beacon2.Variants	1.60GB
2023-02-08T18:44:44.981+0000	beacon2.Variants	1.64GB
2023-02-08T18:44:47.985+0000	beacon2.Variants	1.67GB
2023-02-08T18:44:50.976+0000	beacon2.Variants	1.71GB
2023-02-08T18:44:53.977+0000	beacon2.Variants	1.75GB
2023-02-08T18:44:56.983+0000	beacon2.Variants	1.79GB
2023-02-08T18:44:59.977+0000	beacon2.Variants	1.83GB
2023-02-08T18:45:02.978+0000	beacon2.Variants	1.86GB
2023-02-08T18:45:05.984+0000	beacon2.Variants	1.90GB
2023-02-08T18:45:08.978+0000	beacon2.Variants	1.94GB
2023-02-08T18:45:11.976+0000	beacon2.Variants	1.98GB
2023-02-08T18:45:14.979+0000	beacon2.Variants	2.02GB
2023-02-08T18:45:17.980+0000	beacon2.Variants	2.06GB
2023-02-08T18:45:20.977+0000	beacon2.Variants	2.09GB
