2023-02-08T09:44:38.090+0000	connected to: mongodb://[**REDACTED**]@localhost:27017/beacon2?authSource=admin
2023-02-08T09:44:41.090+0000	beacon2.Variants	39.5MB
2023-02-08T09:44:44.092+0000	beacon2.Variants	77.0MB
2023-02-08T09:44:47.092+0000	beacon2.Variants	117MB
2023-02-08T09:44:50.096+0000	beacon2.Variants	156MB
2023-02-08T09:44:53.093+0000	beacon2.Variants	194MB
2023-02-08T09:44:56.092+0000	beacon2.Variants	233MB
2023-02-08T09:44:59.093+0000	beacon2.Variants	272MB
2023-02-08T09:45:02.095+0000	beacon2.Variants	311MB
2023-02-08T09:45:05.091+0000	beacon2.Variants	349MB
2023-02-08T09:45:08.090+0000	beacon2.Variants	387MB
2023-02-08T09:45:11.103+0000	beacon2.Variants	428MB
2023-02-08T09:45:14.092+0000	beacon2.Variants	467MB
2023-02-08T09:45:17.098+0000	beacon2.Variants	506MB
2023-02-08T09:45:20.096+0000	beacon2.Variants	545MB
2023-02-08T09:45:23.092+0000	beacon2.Variants	584MB
2023-02-08T09:45:26.091+0000	beacon2.Variants	622MB
2023-02-08T09:45:29.101+0000	beacon2.Variants	662MB
2023-02-08T09:45:32.092+0000	beacon2.Variants	701MB
2023-02-08T09:45:35.091+0000	beacon2.Variants	739MB
2023-02-08T09:45:38.092+0000	beacon2.Variants	778MB
2023-02-08T09:45:41.095+0000	beacon2.Variants	817MB
2023-02-08T09:45:44.092+0000	beacon2.Variants	856MB
2023-02-08T09:45:47.091+0000	beacon2.Variants	895MB
2023-02-08T09:45:50.102+0000	beacon2.Variants	934MB
2023-02-08T09:45:53.091+0000	beacon2.Variants	971MB
2023-02-08T09:45:56.098+0000	beacon2.Variants	1011MB
2023-02-08T09:45:59.091+0000	beacon2.Variants	1.02GB
2023-02-08T09:46:02.090+0000	beacon2.Variants	1.06GB
2023-02-08T09:46:05.097+0000	beacon2.Variants	1.10GB
2023-02-08T09:46:08.093+0000	beacon2.Variants	1.14GB
2023-02-08T09:46:11.095+0000	beacon2.Variants	1.18GB
2023-02-08T09:46:14.091+0000	beacon2.Variants	1.21GB
2023-02-08T09:46:17.097+0000	beacon2.Variants	1.25GB
2023-02-08T09:46:20.090+0000	beacon2.Variants	1.29GB
2023-02-08T09:46:23.100+0000	beacon2.Variants	1.33GB
2023-02-08T09:46:26.091+0000	beacon2.Variants	1.37GB
2023-02-08T09:46:29.095+0000	beacon2.Variants	1.41GB
2023-02-08T09:46:32.091+0000	beacon2.Variants	1.44GB
2023-02-08T09:46:35.091+0000	beacon2.Variants	1.48GB
2023-02-08T09:46:38.092+0000	beacon2.Variants	1.52GB
2023-02-08T09:46:41.095+0000	beacon2.Variants	1.56GB
2023-02-08T09:46:44.091+0000	beacon2.Variants	1.60GB
2023-02-08T09:46:47.092+0000	beacon2.Variants	1.63GB
2023-02-08T09:46:50.094+0000	beacon2.Variants	1.67GB
2023-02-08T09:46:53.091+0000	beacon2.Variants	1.71GB
2023-02-08T09:46:56.098+0000	beacon2.Variants	1.75GB
2023-02-08T09:46:59.091+0000	beacon2.Variants	1.79GB
2023-02-08T09:47:02.095+0000	beacon2.Variants	1.82GB
2023-02-08T09:47:05.092+0000	beacon2.Variants	1.86GB
2023-02-08T09:47:08.106+0000	beacon2.Variants	1.90GB
2023-02-08T09:47:11.091+0000	beacon2.Variants	1.94GB
2023-02-08T09:47:14.090+0000	beacon2.Variants	1.98GB
2023-02-08T09:47:17.091+0000	beacon2.Variants	2.01GB
2023-02-08T09:47:20.090+0000	beacon2.Variants	2.05GB
2023-02-08T09:47:23.094+0000	beacon2.Variants	2.09GB
2023-02-08T09:47:26.092+0000	beacon2.Variants	2.13GB
2023-02-08T09:47:29.093+0000	beacon2.Variants	2.17GB
2023-02-08T09:47:32.090+0000	beacon2.Variants	2.20GB
2023-02-08T09:47:35.091+0000	beacon2.Variants	2.24GB
2023-02-08T09:47:38.094+0000	beacon2.Variants	2.28GB
2023-02-08T09:47:41.091+0000	beacon2.Variants	2.32GB
2023-02-08T09:47:44.093+0000	beacon2.Variants	2.36GB
2023-02-08T09:47:47.093+0000	beacon2.Variants	2.39GB
2023-02-08T09:47:50.092+0000	beacon2.Variants	2.43GB
2023-02-08T09:47:53.097+0000	beacon2.Variants	2.47GB
2023-02-08T09:47:56.091+0000	beacon2.Variants	2.51GB
2023-02-08T09:47:59.098+0000	beacon2.Variants	2.55GB
2023-02-08T09:48:02.095+0000	beacon2.Variants	2.58GB
2023-02-08T09:48:05.092+0000	beacon2.Variants	2.62GB
2023-02-08T09:48:08.096+0000	beacon2.Variants	2.66GB
2023-02-08T09:48:11.091+0000	beacon2.Variants	2.70GB
2023-02-08T09:48:14.103+0000	beacon2.Variants	2.74GB
2023-02-08T09:48:17.090+0000	beacon2.Variants	2.77GB
2023-02-08T09:48:20.090+0000	beacon2.Variants	2.81GB
2023-02-08T09:48:23.091+0000	beacon2.Variants	2.85GB
2023-02-08T09:48:26.095+0000	beacon2.Variants	2.89GB
2023-02-08T09:48:29.090+0000	beacon2.Variants	2.93GB
2023-02-08T09:48:32.093+0000	beacon2.Variants	2.96GB
2023-02-08T09:48:35.091+0000	beacon2.Variants	3.00GB
2023-02-08T09:48:38.092+0000	beacon2.Variants	3.04GB
2023-02-08T09:48:41.091+0000	beacon2.Variants	3.08GB
2023-02-08T09:48:44.095+0000	beacon2.Variants	3.12GB
2023-02-08T09:48:47.100+0000	beacon2.Variants	3.15GB
2023-02-08T09:48:50.091+0000	beacon2.Variants	3.19GB
2023-02-08T09:48:53.091+0000	beacon2.Variants	3.23GB
2023-02-08T09:48:56.094+0000	beacon2.Variants	3.27GB
2023-02-08T09:48:59.094+0000	beacon2.Variants	3.31GB
2023-02-08T09:49:02.092+0000	beacon2.Variants	3.34GB
2023-02-08T09:49:05.093+0000	beacon2.Variants	3.38GB
2023-02-08T09:49:08.093+0000	beacon2.Variants	3.42GB
2023-02-08T09:49:11.095+0000	beacon2.Variants	3.46GB
2023-02-08T09:49:14.092+0000	beacon2.Variants	3.50GB
2023-02-08T09:49:17.095+0000	beacon2.Variants	3.53GB
2023-02-08T09:49:20.090+0000	beacon2.Variants	3.57GB
2023-02-08T09:49:23.100+0000	beacon2.Variants	3.61GB
2023-02-08T09:49:26.092+0000	beacon2.Variants	3.65GB
2023-02-08T09:49:29.090+0000	beacon2.Variants	3.68GB
2023-02-08T09:49:32.091+0000	beacon2.Variants	3.72GB
2023-02-08T09:49:35.090+0000	beacon2.Variants	3.76GB
2023-02-08T09:49:38.090+0000	beacon2.Variants	3.80GB
2023-02-08T09:49:41.090+0000	beacon2.Variants	3.84GB
2023-02-08T09:49:44.103+0000	beacon2.Variants	3.87GB
2023-02-08T09:49:47.097+0000	beacon2.Variants	3.91GB
2023-02-08T09:49:50.092+0000	beacon2.Variants	3.95GB
2023-02-08T09:49:53.104+0000	beacon2.Variants	3.99GB
2023-02-08T09:49:56.100+0000	beacon2.Variants	4.03GB
2023-02-08T09:49:59.090+0000	beacon2.Variants	4.07GB
2023-02-08T09:50:02.096+0000	beacon2.Variants	4.10GB
2023-02-08T09:50:05.091+0000	beacon2.Variants	4.14GB
2023-02-08T09:50:08.091+0000	beacon2.Variants	4.18GB
2023-02-08T09:50:11.090+0000	beacon2.Variants	4.22GB
2023-02-08T09:50:14.095+0000	beacon2.Variants	4.26GB
2023-02-08T09:50:17.094+0000	beacon2.Variants	4.29GB
2023-02-08T09:50:20.100+0000	beacon2.Variants	4.33GB
2023-02-08T09:50:23.091+0000	beacon2.Variants	4.37GB
2023-02-08T09:50:26.092+0000	beacon2.Variants	4.41GB
2023-02-08T09:50:29.091+0000	beacon2.Variants	4.45GB
2023-02-08T09:50:32.093+0000	beacon2.Variants	4.48GB
2023-02-08T09:50:35.093+0000	beacon2.Variants	4.52GB
2023-02-08T09:50:38.090+0000	beacon2.Variants	4.56GB
2023-02-08T09:50:41.099+0000	beacon2.Variants	4.60GB
2023-02-08T09:50:44.091+0000	beacon2.Variants	4.64GB
2023-02-08T09:50:47.090+0000	beacon2.Variants	4.67GB
2023-02-08T09:50:50.090+0000	beacon2.Variants	4.71GB
2023-02-08T09:50:53.095+0000	beacon2.Variants	4.75GB
2023-02-08T09:50:56.092+0000	beacon2.Variants	4.79GB
2023-02-08T09:50:59.091+0000	beacon2.Variants	4.83GB
2023-02-08T09:51:02.091+0000	beacon2.Variants	4.86GB
2023-02-08T09:51:05.090+0000	beacon2.Variants	4.90GB
2023-02-08T09:51:08.092+0000	beacon2.Variants	4.94GB
2023-02-08T09:51:11.100+0000	beacon2.Variants	4.98GB
2023-02-08T09:51:14.090+0000	beacon2.Variants	5.02GB
2023-02-08T09:51:17.091+0000	beacon2.Variants	5.05GB
2023-02-08T09:51:20.091+0000	beacon2.Variants	5.09GB
2023-02-08T09:51:23.092+0000	beacon2.Variants	5.13GB
2023-02-08T09:51:26.098+0000	beacon2.Variants	5.17GB
2023-02-08T09:51:29.091+0000	beacon2.Variants	5.21GB
2023-02-08T09:51:32.091+0000	beacon2.Variants	5.25GB
2023-02-08T09:51:35.091+0000	beacon2.Variants	5.28GB
2023-02-08T09:51:38.100+0000	beacon2.Variants	5.32GB
2023-02-08T09:51:41.100+0000	beacon2.Variants	5.36GB
2023-02-08T09:51:44.095+0000	beacon2.Variants	5.40GB
2023-02-08T09:51:47.096+0000	beacon2.Variants	5.44GB
2023-02-08T09:51:50.095+0000	beacon2.Variants	5.48GB
2023-02-08T09:51:53.092+0000	beacon2.Variants	5.51GB
2023-02-08T09:51:56.094+0000	beacon2.Variants	5.55GB
2023-02-08T09:51:59.091+0000	beacon2.Variants	5.59GB
2023-02-08T09:52:02.094+0000	beacon2.Variants	5.63GB
2023-02-08T09:52:05.091+0000	beacon2.Variants	5.67GB
2023-02-08T09:52:08.091+0000	beacon2.Variants	5.70GB
2023-02-08T09:52:11.090+0000	beacon2.Variants	5.74GB
2023-02-08T09:52:14.093+0000	beacon2.Variants	5.78GB
2023-02-08T09:52:17.096+0000	beacon2.Variants	5.82GB
2023-02-08T09:52:20.100+0000	beacon2.Variants	5.86GB
2023-02-08T09:52:23.098+0000	beacon2.Variants	5.89GB
2023-02-08T09:52:26.090+0000	beacon2.Variants	5.93GB
2023-02-08T09:52:29.101+0000	beacon2.Variants	5.97GB
2023-02-08T09:52:32.091+0000	beacon2.Variants	6.01GB
2023-02-08T09:52:35.092+0000	beacon2.Variants	6.05GB
2023-02-08T09:52:38.100+0000	beacon2.Variants	6.09GB
2023-02-08T09:52:41.092+0000	beacon2.Variants	6.12GB
2023-02-08T09:52:44.096+0000	beacon2.Variants	6.16GB
2023-02-08T09:52:47.090+0000	beacon2.Variants	6.20GB
2023-02-08T09:52:50.099+0000	beacon2.Variants	6.24GB
2023-02-08T09:52:53.091+0000	beacon2.Variants	6.27GB
2023-02-08T09:52:56.092+0000	beacon2.Variants	6.31GB
2023-02-08T09:52:59.099+0000	beacon2.Variants	6.35GB
2023-02-08T09:53:02.091+0000	beacon2.Variants	6.39GB
2023-02-08T09:53:05.091+0000	beacon2.Variants	6.43GB
2023-02-08T09:53:08.090+0000	beacon2.Variants	6.46GB
2023-02-08T09:53:11.095+0000	beacon2.Variants	6.50GB
2023-02-08T09:53:14.090+0000	beacon2.Variants	6.54GB
2023-02-08T09:53:17.090+0000	beacon2.Variants	6.58GB
2023-02-08T09:53:20.095+0000	beacon2.Variants	6.62GB
2023-02-08T09:53:23.097+0000	beacon2.Variants	6.65GB
2023-02-08T09:53:26.090+0000	beacon2.Variants	6.69GB
2023-02-08T09:53:29.098+0000	beacon2.Variants	6.73GB
2023-02-08T09:53:32.092+0000	beacon2.Variants	6.77GB
2023-02-08T09:53:35.094+0000	beacon2.Variants	6.80GB
2023-02-08T09:53:38.095+0000	beacon2.Variants	6.84GB
2023-02-08T09:53:41.092+0000	beacon2.Variants	6.88GB
2023-02-08T09:53:44.091+0000	beacon2.Variants	6.92GB
2023-02-08T09:53:47.097+0000	beacon2.Variants	6.96GB
2023-02-08T09:53:50.090+0000	beacon2.Variants	6.99GB
2023-02-08T09:53:53.093+0000	beacon2.Variants	7.03GB
2023-02-08T09:53:56.090+0000	beacon2.Variants	7.07GB
2023-02-08T09:53:59.091+0000	beacon2.Variants	7.11GB
2023-02-08T09:54:02.093+0000	beacon2.Variants	7.14GB
2023-02-08T09:54:05.090+0000	beacon2.Variants	7.18GB
2023-02-08T09:54:08.091+0000	beacon2.Variants	7.22GB
2023-02-08T09:54:11.102+0000	beacon2.Variants	7.26GB
2023-02-08T09:54:14.091+0000	beacon2.Variants	7.29GB
2023-02-08T09:54:17.090+0000	beacon2.Variants	7.33GB
2023-02-08T09:54:20.090+0000	beacon2.Variants	7.37GB
2023-02-08T09:54:23.097+0000	beacon2.Variants	7.41GB
2023-02-08T09:54:26.090+0000	beacon2.Variants	7.44GB
2023-02-08T09:54:29.090+0000	beacon2.Variants	7.48GB
2023-02-08T09:54:32.093+0000	beacon2.Variants	7.52GB
2023-02-08T09:54:35.093+0000	beacon2.Variants	7.56GB
2023-02-08T09:54:38.098+0000	beacon2.Variants	7.60GB
2023-02-08T09:54:41.101+0000	beacon2.Variants	7.64GB
2023-02-08T09:54:44.093+0000	beacon2.Variants	7.67GB
2023-02-08T09:54:47.093+0000	beacon2.Variants	7.71GB
2023-02-08T09:54:50.091+0000	beacon2.Variants	7.75GB
2023-02-08T09:54:53.092+0000	beacon2.Variants	7.79GB
2023-02-08T09:54:56.094+0000	beacon2.Variants	7.82GB
2023-02-08T09:54:59.090+0000	beacon2.Variants	7.86GB
2023-02-08T09:55:02.096+0000	beacon2.Variants	7.90GB
2023-02-08T09:55:05.092+0000	beacon2.Variants	7.94GB
2023-02-08T09:55:08.093+0000	beacon2.Variants	7.98GB
2023-02-08T09:55:11.091+0000	beacon2.Variants	8.01GB
