2023-02-08T07:46:36.787+0000	connected to: mongodb://[**REDACTED**]@localhost:27017/beacon2?authSource=admin
2023-02-08T07:46:39.788+0000	beacon2.Variants	38.3MB
2023-02-08T07:46:42.795+0000	beacon2.Variants	77.5MB
2023-02-08T07:46:45.788+0000	beacon2.Variants	116MB
2023-02-08T07:46:48.789+0000	beacon2.Variants	156MB
2023-02-08T07:46:51.790+0000	beacon2.Variants	194MB
2023-02-08T07:46:54.804+0000	beacon2.Variants	233MB
2023-02-08T07:46:57.789+0000	beacon2.Variants	271MB
2023-02-08T07:47:00.787+0000	beacon2.Variants	310MB
2023-02-08T07:47:03.787+0000	beacon2.Variants	349MB
2023-02-08T07:47:06.789+0000	beacon2.Variants	389MB
2023-02-08T07:47:09.797+0000	beacon2.Variants	427MB
2023-02-08T07:47:12.792+0000	beacon2.Variants	467MB
2023-02-08T07:47:15.792+0000	beacon2.Variants	506MB
2023-02-08T07:47:18.789+0000	beacon2.Variants	543MB
2023-02-08T07:47:21.788+0000	beacon2.Variants	582MB
2023-02-08T07:47:24.788+0000	beacon2.Variants	622MB
2023-02-08T07:47:27.787+0000	beacon2.Variants	660MB
2023-02-08T07:47:30.788+0000	beacon2.Variants	699MB
2023-02-08T07:47:33.787+0000	beacon2.Variants	737MB
2023-02-08T07:47:36.789+0000	beacon2.Variants	776MB
2023-02-08T07:47:39.788+0000	beacon2.Variants	815MB
2023-02-08T07:47:42.788+0000	beacon2.Variants	853MB
2023-02-08T07:47:45.832+0000	beacon2.Variants	893MB
2023-02-08T07:47:48.790+0000	beacon2.Variants	931MB
2023-02-08T07:47:51.787+0000	beacon2.Variants	970MB
2023-02-08T07:47:54.787+0000	beacon2.Variants	1009MB
2023-02-08T07:47:57.795+0000	beacon2.Variants	1.02GB
2023-02-08T07:48:00.787+0000	beacon2.Variants	1.06GB
2023-02-08T07:48:03.789+0000	beacon2.Variants	1.10GB
2023-02-08T07:48:06.787+0000	beacon2.Variants	1.14GB
2023-02-08T07:48:09.793+0000	beacon2.Variants	1.17GB
2023-02-08T07:48:12.791+0000	beacon2.Variants	1.21GB
2023-02-08T07:48:15.801+0000	beacon2.Variants	1.25GB
2023-02-08T07:48:18.790+0000	beacon2.Variants	1.29GB
2023-02-08T07:48:21.788+0000	beacon2.Variants	1.32GB
2023-02-08T07:48:24.789+0000	beacon2.Variants	1.36GB
2023-02-08T07:48:27.788+0000	beacon2.Variants	1.40GB
2023-02-08T07:48:30.787+0000	beacon2.Variants	1.44GB
2023-02-08T07:48:33.788+0000	beacon2.Variants	1.48GB
2023-02-08T07:48:36.797+0000	beacon2.Variants	1.51GB
2023-02-08T07:48:39.794+0000	beacon2.Variants	1.55GB
2023-02-08T07:48:42.793+0000	beacon2.Variants	1.59GB
2023-02-08T07:48:45.787+0000	beacon2.Variants	1.63GB
2023-02-08T07:48:48.794+0000	beacon2.Variants	1.66GB
2023-02-08T07:48:51.788+0000	beacon2.Variants	1.70GB
2023-02-08T07:48:54.788+0000	beacon2.Variants	1.74GB
2023-02-08T07:48:57.788+0000	beacon2.Variants	1.78GB
2023-02-08T07:49:00.788+0000	beacon2.Variants	1.81GB
2023-02-08T07:49:03.787+0000	beacon2.Variants	1.85GB
2023-02-08T07:49:06.794+0000	beacon2.Variants	1.89GB
2023-02-08T07:49:09.790+0000	beacon2.Variants	1.93GB
2023-02-08T07:49:12.787+0000	beacon2.Variants	1.97GB
2023-02-08T07:49:15.802+0000	beacon2.Variants	2.01GB
2023-02-08T07:49:18.798+0000	beacon2.Variants	2.04GB
2023-02-08T07:49:21.788+0000	beacon2.Variants	2.08GB
2023-02-08T07:49:24.787+0000	beacon2.Variants	2.12GB
2023-02-08T07:49:27.791+0000	beacon2.Variants	2.16GB
2023-02-08T07:49:30.790+0000	beacon2.Variants	2.20GB
2023-02-08T07:49:33.787+0000	beacon2.Variants	2.23GB
2023-02-08T07:49:36.792+0000	beacon2.Variants	2.27GB
2023-02-08T07:49:39.790+0000	beacon2.Variants	2.31GB
2023-02-08T07:49:42.794+0000	beacon2.Variants	2.35GB
2023-02-08T07:49:45.789+0000	beacon2.Variants	2.38GB
2023-02-08T07:49:48.799+0000	beacon2.Variants	2.42GB
2023-02-08T07:49:51.787+0000	beacon2.Variants	2.46GB
2023-02-08T07:49:54.788+0000	beacon2.Variants	2.50GB
2023-02-08T07:49:57.787+0000	beacon2.Variants	2.54GB
2023-02-08T07:50:00.792+0000	beacon2.Variants	2.57GB
2023-02-08T07:50:03.787+0000	beacon2.Variants	2.61GB
2023-02-08T07:50:06.787+0000	beacon2.Variants	2.65GB
2023-02-08T07:50:09.790+0000	beacon2.Variants	2.69GB
2023-02-08T07:50:12.789+0000	beacon2.Variants	2.72GB
2023-02-08T07:50:15.787+0000	beacon2.Variants	2.76GB
2023-02-08T07:50:18.788+0000	beacon2.Variants	2.80GB
2023-02-08T07:50:21.788+0000	beacon2.Variants	2.84GB
2023-02-08T07:50:24.790+0000	beacon2.Variants	2.87GB
2023-02-08T07:50:27.803+0000	beacon2.Variants	2.91GB
2023-02-08T07:50:30.792+0000	beacon2.Variants	2.95GB
2023-02-08T07:50:33.788+0000	beacon2.Variants	2.99GB
2023-02-08T07:50:36.788+0000	beacon2.Variants	3.03GB
2023-02-08T07:50:39.788+0000	beacon2.Variants	3.06GB
2023-02-08T07:50:42.792+0000	beacon2.Variants	3.10GB
2023-02-08T07:50:45.792+0000	beacon2.Variants	3.14GB
2023-02-08T07:50:48.793+0000	beacon2.Variants	3.18GB
2023-02-08T07:50:51.789+0000	beacon2.Variants	3.22GB
2023-02-08T07:50:54.790+0000	beacon2.Variants	3.25GB
2023-02-08T07:50:57.795+0000	beacon2.Variants	3.29GB
2023-02-08T07:51:00.790+0000	beacon2.Variants	3.33GB
2023-02-08T07:51:03.791+0000	beacon2.Variants	3.37GB
